time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,12.8,dur,8,8,64,533,61
12.8,9.6,dur,6,14,8,67,134
22.4,4.8,dur,3,17,32,267,14
27.2,12.8,dur,8,25,4,33,59
40.0,4.8,dur,3,28,8,67,34
44.8,4.8,dur,3,31,4,33,19
49.6,11.2,isi,7,38,64,533,136
60.8,4.8,isi,3,41,64,533,16
65.6,4.8,dur,3,44,2,17,90
70.4,4.8,dur,3,47,0,0,31
75.2,8.0,dur,5,52,8,67,132
83.2,6.4,dur,4,56,32,267,115
89.6,11.2,dur,7,63,0,0,6
100.8,4.8,dur,3,66,16,134,88
105.6,12.8,dur,8,74,16,134,138
118.4,14.4,dur,9,83,32,267,70
132.8,6.4,dur,4,87,4,33,91
139.2,8.0,dur,5,92,64,533,139
147.2,4.8,dur,3,95,0,0,133
152.0,6.4,dur,4,99,0,0,2
158.4,8.0,dur,5,104,64,533,67
166.4,11.2,dur,7,111,8,67,123
177.6,6.4,isi,4,115,64,533,38
184.0,12.8,dur,8,123,2,17,92
196.8,6.4,dur,4,127,16,134,0
203.2,4.8,dur,3,130,32,267,21
208.0,6.4,dur,4,134,0,0,64
214.4,11.2,dur,7,141,16,134,27
225.6,4.8,dur,3,144,4,33,150
230.4,4.8,dur,3,147,32,267,9
235.2,4.8,dur,3,150,2,17,109
240.0,9.6,dur,6,156,2,17,114
249.6,4.8,dur,3,159,2,17,157
254.4,4.8,isi,3,162,64,533,71
259.2,12.8,isi,8,170,64,533,66
272.0,8.0,dur,5,175,4,33,128
280.0,4.8,dur,3,178,64,533,143
284.8,11.2,dur,7,185,64,533,118
296.0,4.8,dur,3,188,8,67,149
300.8,19.2,dur,12,200,16,134,135
