time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,16,134,83
4.8,4.8,dur,3,6,8,67,66
9.6,6.4,dur,4,10,0,0,54
16.0,9.6,isi,6,16,64,533,12
25.6,4.8,dur,3,19,32,267,100
30.4,4.8,dur,3,22,2,17,2
35.2,11.2,dur,7,29,16,134,69
46.4,6.4,dur,4,33,4,33,43
52.8,12.8,dur,8,41,32,267,139
65.6,9.6,dur,6,47,16,134,30
75.2,6.4,dur,4,51,32,267,126
81.6,6.4,dur,4,55,0,0,145
88.0,9.6,dur,6,61,32,267,61
97.6,4.8,dur,3,64,4,33,87
102.4,12.8,dur,8,72,64,533,144
115.2,4.8,dur,3,75,8,67,48
120.0,9.6,dur,6,81,64,533,136
129.6,4.8,dur,3,84,16,134,123
134.4,9.6,dur,6,90,64,533,76
144.0,19.2,dur,12,102,64,533,106
163.2,11.2,dur,7,109,2,17,128
174.4,9.6,dur,6,115,0,0,148
184.0,9.6,isi,6,121,64,533,18
193.6,9.6,dur,6,127,4,33,90
203.2,4.8,dur,3,130,0,0,78
208.0,9.6,dur,6,136,2,17,20
217.6,4.8,dur,3,139,8,67,35
222.4,6.4,dur,4,143,4,33,115
228.8,4.8,dur,3,146,8,67,42
233.6,4.8,dur,3,149,2,17,31
238.4,4.8,isi,3,152,64,533,67
243.2,11.2,dur,7,159,4,33,16
254.4,4.8,isi,3,162,64,533,88
259.2,6.4,dur,4,166,32,267,108
265.6,8.0,isi,5,171,64,533,102
273.6,9.6,dur,6,177,8,67,75
283.2,4.8,dur,3,180,64,533,91
288.0,6.4,dur,4,184,0,0,7
294.4,9.6,dur,6,190,16,134,72
304.0,16.0,dur,10,200,2,17,121
