time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,0,0,104
4.8,4.8,dur,3,6,16,134,138
9.6,12.8,dur,8,14,8,67,53
22.4,8.0,isi,5,19,64,533,97
30.4,4.8,dur,3,22,2,17,34
35.2,6.4,dur,4,26,16,134,152
41.6,9.6,dur,6,32,32,267,88
51.2,9.6,dur,6,38,2,17,157
60.8,4.8,dur,3,41,16,134,106
65.6,9.6,dur,6,47,4,33,116
75.2,6.4,dur,4,51,4,33,73
81.6,8.0,dur,5,56,4,33,63
89.6,9.6,dur,6,62,64,533,153
99.2,8.0,dur,5,67,0,0,149
107.2,11.2,dur,7,74,64,533,90
118.4,6.4,dur,4,78,8,67,4
124.8,9.6,dur,6,84,16,134,5
134.4,4.8,isi,3,87,64,533,95
139.2,4.8,dur,3,90,64,533,109
144.0,11.2,isi,7,97,64,533,84
155.2,6.4,dur,4,101,16,134,148
161.6,4.8,dur,3,104,8,67,15
166.4,14.4,dur,9,113,64,533,119
180.8,8.0,dur,5,118,2,17,86
188.8,6.4,dur,4,122,32,267,23
195.2,6.4,dur,4,126,8,67,48
201.6,4.8,dur,3,129,2,17,82
206.4,4.8,dur,3,132,0,0,129
211.2,9.6,dur,6,138,8,67,18
220.8,9.6,dur,6,144,0,0,13
230.4,11.2,dur,7,151,4,33,131
241.6,4.8,dur,3,154,32,267,31
246.4,16.0,isi,10,164,64,533,123
262.4,8.0,dur,5,169,32,267,107
270.4,9.6,dur,6,175,2,17,37
280.0,9.6,isi,6,181,64,533,60
289.6,4.8,dur,3,184,4,33,143
294.4,4.8,dur,3,187,32,267,9
299.2,6.4,dur,4,191,0,0,115
305.6,14.4,dur,9,200,64,533,68
