time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,9.6,isi,6,64,533,155
9.6,4.8,dur,3,0,0,61
14.4,4.8,isi,3,16,134,110
19.2,9.6,dur,6,8,67,32
28.8,11.2,dur,7,32,267,69
40.0,11.2,isi,7,2,17,89
51.2,4.8,dur,3,2,17,102
56.0,9.6,isi,6,8,67,140
65.6,12.8,isi,8,32,267,127
78.4,6.4,dur,4,8,67,154
84.8,6.4,dur,4,2,17,43
91.2,4.8,dur,3,32,267,94
96.0,11.2,dur,7,4,33,62
107.2,4.8,dur,3,64,533,29
112.0,6.4,isi,4,4,33,44
118.4,4.8,dur,3,8,67,88
123.2,9.6,dur,6,16,134,35
132.8,4.8,isi,3,64,533,156
137.6,9.6,dur,6,16,134,38
147.2,12.8,isi,8,16,134,23
160.0,8.0,dur,5,0,0,74
168.0,4.8,dur,3,4,33,46
172.8,8.0,isi,5,2,17,100
180.8,8.0,isi,5,32,267,138
188.8,9.6,isi,6,8,67,152
198.4,12.8,isi,8,2,17,83
211.2,4.8,dur,3,16,134,15
216.0,12.8,dur,8,0,0,34
228.8,6.4,isi,4,4,33,71
235.2,11.2,dur,7,32,267,95
246.4,4.8,isi,3,16,134,77
251.2,8.0,isi,5,4,33,7
259.2,6.4,dur,4,64,533,30
265.6,11.2,dur,7,4,33,22
276.8,6.4,isi,4,64,533,103
283.2,9.6,dur,6,64,533,36
292.8,8.0,dur,5,2,17,128
300.8,11.2,isi,7,8,67,31
312.0,8.0,isi,5,32,267,117
