time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,9.6,dur,6,6,32,267,143
9.6,8.0,dur,5,11,2,17,54
17.6,4.8,dur,3,14,8,67,103
22.4,4.8,dur,3,17,8,67,59
27.2,20.8,dur,13,30,32,267,83
48.0,8.0,dur,5,35,16,134,113
56.0,4.8,dur,3,38,8,67,22
60.8,6.4,dur,4,42,4,33,149
67.2,4.8,isi,3,45,64,533,140
72.0,4.8,isi,3,48,64,533,152
76.8,6.4,dur,4,52,64,533,128
83.2,12.8,dur,8,60,2,17,36
96.0,6.4,dur,4,64,64,533,3
102.4,11.2,dur,7,71,8,67,114
113.6,9.6,dur,6,77,2,17,75
123.2,4.8,dur,3,80,16,134,158
128.0,6.4,dur,4,84,32,267,13
134.4,4.8,dur,3,87,64,533,135
139.2,8.0,dur,5,92,2,17,65
147.2,8.0,isi,5,97,64,533,46
155.2,6.4,isi,4,101,64,533,126
161.6,12.8,dur,8,109,0,0,80
174.4,4.8,dur,3,112,4,33,39
179.2,19.2,dur,12,124,16,134,84
198.4,4.8,dur,3,127,0,0,66
203.2,4.8,dur,3,130,4,33,109
208.0,4.8,dur,3,133,32,267,72
212.8,4.8,dur,3,136,32,267,154
217.6,8.0,dur,5,141,64,533,7
225.6,4.8,dur,3,144,0,0,150
230.4,4.8,dur,3,147,16,134,74
235.2,11.2,dur,7,154,64,533,94
246.4,6.4,dur,4,158,16,134,47
252.8,12.8,isi,8,166,64,533,1
265.6,4.8,dur,3,169,0,0,107
270.4,4.8,dur,3,172,2,17,133
275.2,16.0,dur,10,182,0,0,100
291.2,4.8,dur,3,185,4,33,49
296.0,9.6,dur,6,191,4,33,89
305.6,14.4,dur,9,200,8,67,43
