time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,4,33,148
4.8,12.8,isi,8,11,64,533,60
17.6,17.6,dur,11,22,64,533,35
35.2,6.4,dur,4,26,0,0,154
41.6,9.6,dur,6,32,4,33,139
51.2,4.8,dur,3,35,2,17,153
56.0,8.0,dur,5,40,4,33,14
64.0,8.0,dur,5,45,64,533,70
72.0,6.4,dur,4,49,64,533,121
78.4,4.8,dur,3,52,0,0,105
83.2,9.6,dur,6,58,0,0,58
92.8,9.6,dur,6,64,32,267,19
102.4,4.8,dur,3,67,32,267,134
107.2,8.0,dur,5,72,32,267,81
115.2,6.4,isi,4,76,64,533,73
121.6,8.0,dur,5,81,4,33,97
129.6,8.0,isi,5,86,64,533,95
137.6,4.8,dur,3,89,8,67,4
142.4,11.2,dur,7,96,32,267,80
153.6,11.2,dur,7,103,4,33,30
164.8,4.8,dur,3,106,16,134,100
169.6,4.8,dur,3,109,32,267,126
174.4,6.4,dur,4,113,2,17,79
180.8,6.4,dur,4,117,0,0,135
187.2,4.8,dur,3,120,0,0,87
192.0,9.6,dur,6,126,2,17,28
201.6,4.8,isi,3,129,64,533,12
206.4,4.8,dur,3,132,16,134,15
211.2,9.6,dur,6,138,64,533,43
220.8,6.4,dur,4,142,16,134,125
227.2,8.0,dur,5,147,2,17,124
235.2,4.8,dur,3,150,8,67,26
240.0,9.6,dur,6,156,8,67,56
249.6,4.8,dur,3,159,8,67,42
254.4,4.8,dur,3,162,64,533,74
259.2,8.0,dur,5,167,2,17,78
267.2,9.6,dur,6,173,16,134,150
276.8,14.4,isi,9,182,64,533,24
291.2,8.0,dur,5,187,16,134,155
299.2,20.8,dur,13,200,8,67,91
