time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,8.0,dur,5,5,4,33,118
8.0,4.8,dur,3,8,16,134,27
12.8,4.8,dur,3,11,16,134,7
17.6,11.2,dur,7,18,8,67,26
28.8,4.8,dur,3,21,0,0,109
33.6,11.2,dur,7,28,32,267,81
44.8,11.2,dur,7,35,0,0,13
56.0,4.8,dur,3,38,4,33,56
60.8,11.2,dur,7,45,4,33,88
72.0,11.2,isi,7,52,64,533,9
83.2,9.6,dur,6,58,16,134,20
92.8,4.8,isi,3,61,64,533,102
97.6,6.4,isi,4,65,64,533,141
104.0,6.4,isi,4,69,64,533,110
110.4,14.4,dur,9,78,16,134,38
124.8,4.8,dur,3,81,2,17,16
129.6,6.4,dur,4,85,32,267,117
136.0,4.8,dur,3,88,8,67,89
140.8,11.2,dur,7,95,8,67,28
152.0,9.6,dur,6,101,64,533,18
161.6,8.0,dur,5,106,2,17,70
169.6,4.8,dur,3,109,8,67,120
174.4,8.0,isi,5,114,64,533,10
182.4,11.2,dur,7,121,4,33,104
193.6,4.8,dur,3,124,8,67,24
198.4,4.8,dur,3,127,32,267,43
203.2,4.8,dur,3,130,16,134,39
208.0,4.8,dur,3,133,64,533,3
212.8,8.0,dur,5,138,2,17,14
220.8,4.8,dur,3,141,64,533,121
225.6,8.0,dur,5,146,64,533,111
233.6,9.6,dur,6,152,2,17,146
243.2,4.8,dur,3,155,4,33,157
248.0,16.0,dur,10,165,32,267,62
264.0,14.4,dur,9,174,0,0,124
278.4,6.4,dur,4,178,0,0,130
284.8,9.6,dur,6,184,64,533,147
294.4,4.8,dur,3,187,32,267,30
299.2,4.8,dur,3,190,2,17,15
304.0,16.0,dur,10,200,0,0,128
