time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,0,0,140
4.8,4.8,isi,3,6,64,533,62
9.6,14.4,dur,9,15,32,267,126
24.0,4.8,dur,3,18,4,33,97
28.8,4.8,dur,3,21,16,134,44
33.6,6.4,dur,4,25,2,17,80
40.0,8.0,dur,5,30,16,134,45
48.0,11.2,dur,7,37,32,267,141
59.2,4.8,dur,3,40,8,67,69
64.0,6.4,dur,4,44,8,67,33
70.4,14.4,isi,9,53,64,533,46
84.8,12.8,dur,8,61,16,134,25
97.6,6.4,dur,4,65,64,533,53
104.0,4.8,dur,3,68,64,533,39
108.8,4.8,dur,3,71,0,0,143
113.6,8.0,dur,5,76,8,67,26
121.6,4.8,dur,3,79,4,33,121
126.4,8.0,isi,5,84,64,533,65
134.4,9.6,dur,6,90,32,267,149
144.0,4.8,dur,3,93,2,17,94
148.8,6.4,dur,4,97,16,134,108
155.2,4.8,dur,3,100,64,533,152
160.0,11.2,isi,7,107,64,533,147
171.2,4.8,dur,3,110,2,17,153
176.0,14.4,dur,9,119,64,533,125
190.4,6.4,isi,4,123,64,533,28
196.8,8.0,dur,5,128,16,134,13
204.8,8.0,dur,5,133,2,17,117
212.8,9.6,dur,6,139,64,533,60
222.4,12.8,dur,8,147,4,33,5
235.2,9.6,dur,6,153,2,17,92
244.8,11.2,dur,7,160,0,0,11
256.0,4.8,dur,3,163,4,33,127
260.8,4.8,dur,3,166,32,267,54
265.6,12.8,dur,8,174,4,33,137
278.4,6.4,dur,4,178,0,0,59
284.8,4.8,dur,3,181,8,67,15
289.6,6.4,dur,4,185,32,267,70
296.0,8.0,dur,5,190,8,67,120
304.0,16.0,dur,10,200,0,0,64
