time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,2,17,72
4.8,12.8,dur,8,4,33,29
17.6,6.4,dur,4,2,17,63
24.0,4.8,isi,3,4,33,152
28.8,8.0,dur,5,16,134,44
36.8,4.8,isi,3,2,17,81
41.6,6.4,dur,4,4,33,49
48.0,12.8,dur,8,0,0,139
60.8,8.0,isi,5,16,134,96
68.8,8.0,dur,5,64,533,34
76.8,6.4,dur,4,32,267,101
83.2,6.4,dur,4,64,533,130
89.6,11.2,isi,7,8,67,135
100.8,6.4,dur,4,32,267,107
107.2,6.4,dur,4,2,17,74
113.6,9.6,isi,6,16,134,32
123.2,6.4,isi,4,4,33,75
129.6,4.8,isi,3,8,67,21
134.4,6.4,isi,4,64,533,131
140.8,9.6,dur,6,8,67,94
150.4,11.2,dur,7,32,267,122
161.6,12.8,isi,8,4,33,37
174.4,9.6,dur,6,8,67,7
184.0,4.8,isi,3,64,533,67
188.8,11.2,isi,7,32,267,6
200.0,6.4,dur,4,4,33,55
206.4,8.0,dur,5,16,134,110
214.4,4.8,isi,3,16,134,39
219.2,11.2,isi,7,64,533,120
230.4,8.0,isi,5,32,267,68
238.4,12.8,isi,8,8,67,137
251.2,4.8,dur,3,0,0,66
256.0,12.8,dur,8,8,67,140
268.8,11.2,isi,7,2,17,24
280.0,4.8,dur,3,64,533,85
284.8,6.4,isi,4,2,17,11
291.2,8.0,isi,5,32,267,93
299.2,6.4,dur,4,0,0,61
305.6,14.4,dur,9,16,134,16
