time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,16,134,46
4.8,9.6,dur,6,9,2,17,37
14.4,4.8,dur,3,12,16,134,30
19.2,16.0,dur,10,22,0,0,105
35.2,4.8,dur,3,25,32,267,5
40.0,9.6,dur,6,31,32,267,1
49.6,6.4,dur,4,35,2,17,26
56.0,6.4,dur,4,39,8,67,7
62.4,4.8,dur,3,42,32,267,139
67.2,4.8,dur,3,45,4,33,90
72.0,8.0,dur,5,50,4,33,113
80.0,12.8,dur,8,58,8,67,48
92.8,8.0,dur,5,63,0,0,124
100.8,6.4,dur,4,67,0,0,96
107.2,14.4,isi,9,76,64,533,144
121.6,4.8,dur,3,79,2,17,68
126.4,12.8,dur,8,87,16,134,137
139.2,4.8,dur,3,90,32,267,56
144.0,6.4,dur,4,94,16,134,35
150.4,4.8,isi,3,97,64,533,127
155.2,8.0,dur,5,102,0,0,89
163.2,4.8,dur,3,105,32,267,143
168.0,8.0,dur,5,110,2,17,55
176.0,8.0,dur,5,115,8,67,75
184.0,9.6,dur,6,121,4,33,42
193.6,6.4,dur,4,125,64,533,151
200.0,16.0,dur,10,135,0,0,118
216.0,4.8,dur,3,138,64,533,66
220.8,9.6,isi,6,144,64,533,150
230.4,4.8,isi,3,147,64,533,110
235.2,6.4,dur,4,151,64,533,134
241.6,4.8,dur,3,154,64,533,60
246.4,8.0,dur,5,159,16,134,104
254.4,6.4,dur,4,163,4,33,74
260.8,4.8,dur,3,166,64,533,141
265.6,4.8,dur,3,169,8,67,69
270.4,12.8,dur,8,177,2,17,77
283.2,12.8,dur,8,185,4,33,13
296.0,6.4,isi,4,189,64,533,11
302.4,17.6,dur,11,200,8,67,50
