time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,8,67,40
4.8,19.2,dur,12,15,16,134,65
24.0,6.4,isi,4,19,64,533,25
30.4,4.8,isi,3,22,64,533,145
35.2,8.0,isi,5,27,64,533,57
43.2,4.8,dur,3,30,32,267,39
48.0,8.0,dur,5,35,0,0,1
56.0,6.4,dur,4,39,4,33,31
62.4,8.0,dur,5,44,2,17,73
70.4,11.2,dur,7,51,8,67,17
81.6,6.4,dur,4,55,2,17,22
88.0,9.6,dur,6,61,64,533,136
97.6,11.2,dur,7,68,4,33,108
108.8,11.2,dur,7,75,64,533,129
120.0,4.8,dur,3,78,0,0,52
124.8,12.8,dur,8,86,4,33,139
137.6,8.0,dur,5,91,0,0,21
145.6,8.0,dur,5,96,16,134,109
153.6,4.8,dur,3,99,64,533,64
158.4,12.8,dur,8,107,8,67,137
171.2,8.0,dur,5,112,8,67,37
179.2,4.8,dur,3,115,4,33,138
184.0,8.0,dur,5,120,32,267,142
192.0,8.0,dur,5,125,64,533,77
200.0,8.0,dur,5,130,64,533,28
208.0,11.2,dur,7,137,2,17,154
219.2,6.4,dur,4,141,0,0,16
225.6,16.0,isi,10,151,64,533,85
241.6,8.0,dur,5,156,32,267,97
249.6,6.4,dur,4,160,0,0,41
256.0,6.4,dur,4,164,8,67,83
262.4,4.8,dur,3,167,32,267,48
267.2,4.8,dur,3,170,16,134,125
272.0,4.8,dur,3,173,4,33,69
276.8,4.8,dur,3,176,16,134,133
281.6,6.4,isi,4,180,64,533,13
288.0,4.8,dur,3,183,32,267,66
292.8,4.8,dur,3,186,2,17,8
297.6,6.4,dur,4,190,16,134,90
304.0,16.0,dur,10,200,2,17,99
