time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,9.6,dur,6,6,2,17,139
9.6,8.0,dur,5,11,32,267,104
17.6,14.4,dur,9,20,16,134,140
32.0,4.8,dur,3,23,64,533,79
36.8,4.8,dur,3,26,8,67,124
41.6,12.8,dur,8,34,64,533,153
54.4,4.8,dur,3,37,32,267,158
59.2,6.4,dur,4,41,64,533,62
65.6,8.0,dur,5,46,32,267,24
73.6,4.8,dur,3,49,4,33,105
78.4,8.0,dur,5,54,64,533,94
86.4,8.0,dur,5,59,64,533,112
94.4,4.8,dur,3,62,8,67,39
99.2,12.8,isi,8,70,64,533,46
112.0,9.6,dur,6,76,4,33,50
121.6,4.8,dur,3,79,32,267,137
126.4,9.6,dur,6,85,16,134,120
136.0,9.6,dur,6,91,4,33,97
145.6,6.4,dur,4,95,2,17,126
152.0,6.4,dur,4,99,2,17,86
158.4,4.8,isi,3,102,64,533,151
163.2,11.2,dur,7,109,2,17,29
174.4,11.2,dur,7,116,32,267,0
185.6,6.4,isi,4,120,64,533,144
192.0,11.2,dur,7,127,2,17,96
203.2,8.0,dur,5,132,0,0,84
211.2,9.6,dur,6,138,4,33,54
220.8,8.0,dur,5,143,8,67,83
228.8,4.8,dur,3,146,4,33,72
233.6,6.4,dur,4,150,16,134,118
240.0,8.0,dur,5,155,0,0,135
248.0,4.8,isi,3,158,64,533,47
252.8,6.4,dur,4,162,0,0,21
259.2,4.8,dur,3,165,16,134,111
264.0,14.4,dur,9,174,0,0,156
278.4,4.8,dur,3,177,16,134,30
283.2,6.4,dur,4,181,8,67,116
289.6,4.8,dur,3,184,0,0,115
294.4,16.0,dur,10,194,8,67,147
310.4,9.6,isi,6,200,64,533,48
