time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,8,67,155
4.8,4.8,dur,3,6,2,17,2
9.6,6.4,dur,4,10,32,267,141
16.0,8.0,dur,5,15,0,0,41
24.0,8.0,dur,5,20,2,17,152
32.0,17.6,dur,11,31,16,134,99
49.6,4.8,dur,3,34,8,67,23
54.4,8.0,dur,5,39,8,67,131
62.4,8.0,dur,5,44,0,0,154
70.4,6.4,dur,4,48,64,533,124
76.8,8.0,isi,5,53,64,533,61
84.8,4.8,dur,3,56,8,67,15
89.6,4.8,dur,3,59,4,33,126
94.4,6.4,dur,4,63,2,17,76
100.8,6.4,isi,4,67,64,533,7
107.2,6.4,dur,4,71,16,134,127
113.6,11.2,dur,7,78,64,533,110
124.8,4.8,dur,3,81,64,533,10
129.6,11.2,dur,7,88,4,33,63
140.8,11.2,dur,7,95,8,67,29
152.0,4.8,dur,3,98,32,267,59
156.8,11.2,dur,7,105,2,17,66
168.0,6.4,dur,4,109,32,267,128
174.4,11.2,isi,7,116,64,533,151
185.6,4.8,isi,3,119,64,533,17
190.4,9.6,dur,6,125,2,17,130
200.0,4.8,dur,3,128,16,134,35
204.8,9.6,dur,6,134,32,267,13
214.4,4.8,dur,3,137,32,267,93
219.2,4.8,dur,3,140,0,0,54
224.0,16.0,dur,10,150,4,33,143
240.0,11.2,dur,7,157,4,33,72
251.2,9.6,dur,6,163,4,33,94
260.8,4.8,isi,3,166,64,533,77
265.6,4.8,dur,3,169,64,533,139
270.4,8.0,dur,5,174,16,134,136
278.4,11.2,dur,7,181,16,134,90
289.6,4.8,dur,3,184,0,0,85
294.4,6.4,dur,4,188,64,533,98
300.8,19.2,dur,12,200,0,0,84
