time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,0,0,7
6.4,8.0,dur,5,0,0,80
14.4,4.8,dur,3,0,0,48
19.2,8.0,isi,5,4,33,154
27.2,6.4,dur,4,8,67,73
33.6,6.4,dur,4,32,267,86
40.0,8.0,dur,5,64,533,69
48.0,4.8,isi,3,8,67,66
52.8,11.2,isi,7,2,17,67
64.0,4.8,isi,3,64,533,104
68.8,6.4,isi,4,8,67,155
75.2,6.4,dur,4,8,67,70
81.6,12.8,isi,8,8,67,124
94.4,8.0,dur,5,2,17,133
102.4,4.8,isi,3,16,134,44
107.2,4.8,dur,3,2,17,158
112.0,11.2,isi,7,4,33,150
123.2,12.8,dur,8,8,67,42
136.0,8.0,dur,5,4,33,39
144.0,11.2,dur,7,32,267,91
155.2,4.8,dur,3,16,134,93
160.0,9.6,dur,6,4,33,118
169.6,9.6,isi,6,32,267,31
179.2,6.4,dur,4,16,134,152
185.6,12.8,dur,8,4,33,129
198.4,4.8,dur,3,32,267,132
203.2,12.8,dur,8,64,533,6
216.0,9.6,isi,6,64,533,53
225.6,4.8,isi,3,2,17,23
230.4,6.4,isi,4,16,134,138
236.8,8.0,isi,5,32,267,16
244.8,6.4,isi,4,64,533,79
251.2,9.6,isi,6,2,17,60
260.8,16.0,isi,10,16,134,32
276.8,9.6,isi,6,4,33,141
286.4,4.8,isi,3,32,267,72
291.2,6.4,dur,4,16,134,26
297.6,8.0,dur,5,64,533,112
305.6,14.4,dur,9,2,17,24
