time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,32,267,26
4.8,6.4,dur,4,7,4,33,34
11.2,16.0,dur,10,17,64,533,68
27.2,6.4,dur,4,21,64,533,37
33.6,9.6,dur,6,27,2,17,14
43.2,9.6,dur,6,33,4,33,102
52.8,4.8,dur,3,36,4,33,49
57.6,11.2,dur,7,43,16,134,143
68.8,9.6,dur,6,49,0,0,60
78.4,6.4,dur,4,53,0,0,118
84.8,9.6,isi,6,59,64,533,106
94.4,6.4,isi,4,63,64,533,142
100.8,4.8,dur,3,66,0,0,31
105.6,9.6,dur,6,72,0,0,86
115.2,4.8,dur,3,75,64,533,122
120.0,6.4,dur,4,79,8,67,6
126.4,6.4,dur,4,83,16,134,72
132.8,12.8,dur,8,91,32,267,25
145.6,4.8,dur,3,94,2,17,28
150.4,8.0,dur,5,99,2,17,96
158.4,12.8,dur,8,107,2,17,51
171.2,9.6,dur,6,113,8,67,124
180.8,4.8,dur,3,116,64,533,158
185.6,6.4,dur,4,120,4,33,82
192.0,14.4,dur,9,129,0,0,133
206.4,4.8,isi,3,132,64,533,40
211.2,8.0,isi,5,137,64,533,150
219.2,9.6,dur,6,143,32,267,7
228.8,8.0,dur,5,148,8,67,94
236.8,9.6,dur,6,154,64,533,146
246.4,4.8,dur,3,157,16,134,15
251.2,9.6,dur,6,163,4,33,50
260.8,6.4,dur,4,167,32,267,0
267.2,4.8,dur,3,170,8,67,90
272.0,11.2,dur,7,177,16,134,110
283.2,4.8,dur,3,180,32,267,123
288.0,4.8,dur,3,183,2,17,79
292.8,6.4,dur,4,187,16,134,147
299.2,6.4,dur,4,191,8,67,98
305.6,14.4,isi,9,200,64,533,22
