time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,9.6,dur,6,8,67,132
9.6,9.6,isi,6,2,17,149
19.2,4.8,dur,3,0,0,66
24.0,14.4,isi,9,2,17,146
38.4,12.8,isi,8,64,533,65
51.2,6.4,isi,4,4,33,158
57.6,8.0,dur,5,4,33,105
65.6,4.8,dur,3,2,17,8
70.4,12.8,dur,8,64,533,1
83.2,11.2,isi,7,32,267,87
94.4,11.2,isi,7,4,33,31
105.6,9.6,isi,6,8,67,96
115.2,6.4,isi,4,8,67,140
121.6,6.4,dur,4,0,0,54
128.0,9.6,isi,6,8,67,18
137.6,4.8,dur,3,16,134,5
142.4,8.0,dur,5,16,134,131
150.4,8.0,isi,5,16,134,53
158.4,4.8,dur,3,32,267,81
163.2,8.0,dur,5,64,533,17
171.2,4.8,isi,3,64,533,126
176.0,11.2,dur,7,16,134,13
187.2,4.8,isi,3,16,134,71
192.0,6.4,isi,4,64,533,134
198.4,4.8,dur,3,8,67,151
203.2,16.0,dur,10,0,0,107
219.2,8.0,dur,5,64,533,63
227.2,4.8,dur,3,2,17,93
232.0,4.8,isi,3,32,267,98
236.8,8.0,dur,5,4,33,67
244.8,11.2,isi,7,32,267,21
256.0,4.8,dur,3,2,17,12
260.8,6.4,dur,4,32,267,75
267.2,4.8,isi,3,2,17,61
272.0,12.8,isi,8,16,134,88
284.8,4.8,dur,3,8,67,16
289.6,6.4,dur,4,4,33,32
296.0,9.6,isi,6,4,33,30
305.6,14.4,dur,9,32,267,26
