time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,4.8,isi,3,64,533,110
4.8,6.4,isi,4,8,67,157
11.2,12.8,dur,8,8,67,104
24.0,12.8,isi,8,32,267,85
36.8,4.8,dur,3,16,134,95
41.6,9.6,isi,6,4,33,107
51.2,4.8,isi,3,2,17,69
56.0,6.4,dur,4,64,533,103
62.4,6.4,isi,4,4,33,19
68.8,4.8,dur,3,32,267,24
73.6,9.6,dur,6,16,134,61
83.2,4.8,dur,3,2,17,56
88.0,8.0,isi,5,64,533,99
96.0,8.0,isi,5,16,134,30
104.0,4.8,dur,3,32,267,57
108.8,12.8,isi,8,16,134,21
121.6,4.8,dur,3,8,67,128
126.4,9.6,dur,6,64,533,32
136.0,4.8,isi,3,32,267,115
140.8,12.8,isi,8,32,267,5
153.6,8.0,dur,5,0,0,66
161.6,8.0,dur,5,32,267,119
169.6,12.8,isi,8,64,533,102
182.4,9.6,dur,6,4,33,9
192.0,8.0,isi,5,4,33,123
200.0,4.8,dur,3,0,0,31
204.8,6.4,isi,4,2,17,88
211.2,8.0,isi,5,16,134,3
219.2,11.2,dur,7,2,17,18
230.4,4.8,dur,3,16,134,41
235.2,12.8,dur,8,0,0,8
248.0,9.6,isi,6,8,67,0
257.6,11.2,dur,7,64,533,68
268.8,6.4,dur,4,8,67,137
275.2,4.8,dur,3,4,33,2
280.0,9.6,dur,6,2,17,10
289.6,12.8,isi,8,8,67,124
302.4,4.8,isi,3,2,17,73
307.2,12.8,dur,8,4,33,26
