time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,4,16,134,95
6.4,6.4,dur,4,8,4,33,84
12.8,6.4,dur,4,12,0,0,149
19.2,9.6,dur,6,18,2,17,2
28.8,4.8,dur,3,21,2,17,14
33.6,11.2,dur,7,28,16,134,109
44.8,6.4,dur,4,32,16,134,102
51.2,4.8,dur,3,35,0,0,32
56.0,9.6,dur,6,41,4,33,15
65.6,6.4,isi,4,45,64,533,85
72.0,11.2,dur,7,52,8,67,142
83.2,9.6,dur,6,58,8,67,89
92.8,4.8,dur,3,61,8,67,158
97.6,8.0,dur,5,66,8,67,50
105.6,6.4,dur,4,70,64,533,7
112.0,4.8,dur,3,73,64,533,159
116.8,11.2,isi,7,80,64,533,55
128.0,4.8,dur,3,83,64,533,110
132.8,8.0,dur,5,88,2,17,8
140.8,4.8,dur,3,91,16,134,76
145.6,4.8,dur,3,94,64,533,148
150.4,4.8,dur,3,97,16,134,18
155.2,16.0,dur,10,107,2,17,10
171.2,12.8,dur,8,115,4,33,114
184.0,9.6,isi,6,121,64,533,9
193.6,6.4,dur,4,125,4,33,35
200.0,12.8,dur,8,133,64,533,11
212.8,4.8,dur,3,136,2,17,4
217.6,4.8,dur,3,139,32,267,23
222.4,12.8,dur,8,147,32,267,121
235.2,6.4,dur,4,151,4,33,120
241.6,4.8,isi,3,154,64,533,155
246.4,4.8,dur,3,157,8,67,131
251.2,9.6,isi,6,163,64,533,71
260.8,12.8,dur,8,171,32,267,156
273.6,8.0,dur,5,176,32,267,101
281.6,11.2,dur,7,183,0,0,67
292.8,6.4,dur,4,187,0,0,122
299.2,4.8,dur,3,190,0,0,77
304.0,16.0,dur,10,200,32,267,127
