time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,2,17,127
4.8,4.8,dur,3,6,32,267,154
9.6,6.4,dur,4,10,0,0,145
16.0,6.4,dur,4,14,32,267,57
22.4,12.8,dur,8,22,2,17,101
35.2,8.0,isi,5,27,64,533,119
43.2,8.0,dur,5,32,4,33,147
51.2,4.8,dur,3,35,2,17,10
56.0,17.6,dur,11,46,0,0,157
73.6,6.4,dur,4,50,0,0,149
80.0,4.8,dur,3,53,8,67,142
84.8,12.8,dur,8,61,8,67,66
97.6,6.4,dur,4,65,8,67,156
104.0,11.2,dur,7,72,16,134,7
115.2,6.4,dur,4,76,16,134,58
121.6,9.6,dur,6,82,4,33,126
131.2,6.4,dur,4,86,2,17,71
137.6,8.0,dur,5,91,4,33,2
145.6,12.8,dur,8,99,4,33,136
158.4,4.8,dur,3,102,16,134,77
163.2,4.8,dur,3,105,0,0,24
168.0,6.4,dur,4,109,2,17,67
174.4,8.0,isi,5,114,64,533,95
182.4,4.8,dur,3,117,16,134,124
187.2,11.2,isi,7,124,64,533,108
198.4,9.6,dur,6,130,64,533,84
208.0,12.8,dur,8,138,32,267,89
220.8,4.8,dur,3,141,64,533,51
225.6,9.6,isi,6,147,64,533,110
235.2,4.8,dur,3,150,8,67,109
240.0,6.4,dur,4,154,4,33,15
246.4,9.6,dur,6,160,64,533,85
256.0,6.4,isi,4,164,64,533,34
262.4,14.4,dur,9,173,16,134,125
276.8,4.8,dur,3,176,32,267,94
281.6,6.4,dur,4,180,8,67,158
288.0,11.2,dur,7,187,0,0,86
299.2,6.4,dur,4,191,64,533,4
305.6,9.6,dur,6,197,64,533,159
315.2,4.8,dur,3,200,32,267,65
