time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,0,0,84
4.8,11.2,dur,7,10,16,134,29
16.0,8.0,dur,5,15,4,33,62
24.0,6.4,dur,4,19,4,33,128
30.4,9.6,dur,6,25,8,67,18
40.0,8.0,dur,5,30,16,134,41
48.0,9.6,dur,6,36,32,267,100
57.6,9.6,dur,6,42,16,134,81
67.2,11.2,dur,7,49,2,17,150
78.4,4.8,dur,3,52,32,267,53
83.2,12.8,dur,8,60,0,0,68
96.0,6.4,dur,4,64,32,267,111
102.4,6.4,dur,4,68,64,533,114
108.8,4.8,dur,3,71,0,0,6
113.6,6.4,dur,4,75,64,533,131
120.0,12.8,isi,8,83,64,533,144
132.8,6.4,dur,4,87,64,533,60
139.2,4.8,dur,3,90,64,533,40
144.0,6.4,dur,4,94,32,267,108
150.4,4.8,dur,3,97,0,0,48
155.2,11.2,dur,7,104,8,67,46
166.4,6.4,dur,4,108,32,267,127
172.8,11.2,dur,7,115,8,67,23
184.0,4.8,dur,3,118,16,134,52
188.8,9.6,dur,6,124,2,17,38
198.4,8.0,isi,5,129,64,533,65
206.4,8.0,dur,5,134,0,0,13
214.4,4.8,isi,3,137,64,533,86
219.2,4.8,isi,3,140,64,533,32
224.0,6.4,dur,4,144,8,67,126
230.4,6.4,isi,4,148,64,533,24
236.8,12.8,dur,8,156,4,33,93
249.6,6.4,dur,4,160,2,17,80
256.0,4.8,dur,3,163,4,33,21
260.8,4.8,dur,3,166,2,17,27
265.6,16.0,dur,10,176,4,33,75
281.6,9.6,dur,6,182,64,533,119
291.2,6.4,dur,4,186,8,67,124
297.6,11.2,dur,7,193,16,134,148
308.8,11.2,dur,7,200,2,17,85
