time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,4,32,267,130
6.4,4.8,dur,3,7,0,0,85
11.2,6.4,dur,4,11,0,0,140
17.6,12.8,dur,8,19,64,533,68
30.4,6.4,dur,4,23,8,67,153
36.8,6.4,dur,4,27,64,533,17
43.2,6.4,dur,4,31,4,33,129
49.6,4.8,dur,3,34,64,533,51
54.4,4.8,dur,3,37,8,67,33
59.2,12.8,dur,8,45,0,0,136
72.0,8.0,dur,5,50,2,17,26
80.0,4.8,dur,3,53,64,533,71
84.8,11.2,dur,7,60,64,533,62
96.0,6.4,dur,4,64,4,33,159
102.4,4.8,dur,3,67,2,17,28
107.2,4.8,dur,3,70,8,67,126
112.0,9.6,dur,6,76,16,134,27
121.6,9.6,dur,6,82,4,33,6
131.2,4.8,dur,3,85,4,33,47
136.0,11.2,dur,7,92,4,33,74
147.2,16.0,dur,10,102,16,134,60
163.2,4.8,dur,3,105,16,134,50
168.0,12.8,dur,8,113,16,134,124
180.8,8.0,dur,5,118,0,0,79
188.8,9.6,isi,6,124,64,533,134
198.4,8.0,dur,5,129,8,67,113
206.4,4.8,dur,3,132,8,67,86
211.2,12.8,isi,8,140,64,533,23
224.0,12.8,dur,8,148,0,0,42
236.8,4.8,dur,3,151,32,267,3
241.6,4.8,dur,3,154,32,267,5
246.4,9.6,dur,6,160,16,134,101
256.0,11.2,isi,7,167,64,533,18
267.2,4.8,dur,3,170,2,17,72
272.0,4.8,dur,3,173,32,267,13
276.8,4.8,isi,3,176,64,533,110
281.6,4.8,dur,3,179,2,17,22
286.4,12.8,dur,8,187,2,17,122
299.2,12.8,dur,8,195,32,267,150
312.0,8.0,isi,5,200,64,533,135
