time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,64,533,56
4.8,9.6,isi,6,32,267,22
14.4,6.4,dur,4,4,33,114
20.8,4.8,dur,3,2,17,112
25.6,6.4,dur,4,64,533,10
32.0,9.6,dur,6,64,533,92
41.6,11.2,isi,7,2,17,93
52.8,4.8,dur,3,0,0,116
57.6,11.2,isi,7,8,67,141
68.8,4.8,isi,3,32,267,104
73.6,11.2,isi,7,2,17,86
84.8,9.6,isi,6,16,134,96
94.4,6.4,dur,4,32,267,152
100.8,9.6,dur,6,8,67,135
110.4,4.8,isi,3,64,533,52
115.2,4.8,isi,3,16,134,75
120.0,9.6,dur,6,16,134,21
129.6,4.8,isi,3,32,267,131
134.4,4.8,dur,3,2,17,148
139.2,12.8,dur,8,8,67,106
152.0,4.8,isi,3,16,134,108
156.8,9.6,isi,6,64,533,72
166.4,6.4,isi,4,64,533,90
172.8,8.0,dur,5,0,0,120
180.8,12.8,dur,8,0,0,32
193.6,8.0,isi,5,8,67,1
201.6,11.2,dur,7,4,33,85
212.8,12.8,dur,8,16,134,125
225.6,9.6,dur,6,32,267,155
235.2,6.4,dur,4,32,267,47
241.6,9.6,isi,6,4,33,8
251.2,9.6,dur,6,2,17,139
260.8,4.8,isi,3,2,17,70
265.6,4.8,dur,3,8,67,42
270.4,6.4,isi,4,4,33,50
276.8,4.8,isi,3,8,67,4
281.6,12.8,isi,8,4,33,68
294.4,12.8,dur,8,4,33,54
307.2,12.8,dur,8,16,134,13
