time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,9.6,isi,6,4,33,30
9.6,4.8,isi,3,64,533,156
14.4,8.0,dur,5,32,267,7
22.4,4.8,dur,3,16,134,141
27.2,4.8,dur,3,2,17,54
32.0,11.2,isi,7,4,33,77
43.2,4.8,dur,3,2,17,120
48.0,6.4,isi,4,2,17,41
54.4,4.8,dur,3,64,533,36
59.2,8.0,dur,5,16,134,154
67.2,6.4,isi,4,16,134,50
73.6,14.4,dur,9,4,33,10
88.0,11.2,dur,7,64,533,53
99.2,4.8,dur,3,0,0,5
104.0,9.6,dur,6,32,267,65
113.6,6.4,isi,4,16,134,90
120.0,8.0,isi,5,32,267,22
128.0,6.4,dur,4,0,0,101
134.4,11.2,dur,7,0,0,127
145.6,8.0,isi,5,2,17,119
153.6,6.4,isi,4,64,533,145
160.0,6.4,isi,4,4,33,134
166.4,12.8,dur,8,16,134,61
179.2,4.8,isi,3,8,67,137
184.0,6.4,isi,4,32,267,116
190.4,14.4,dur,9,2,17,138
204.8,8.0,isi,5,32,267,37
212.8,4.8,isi,3,64,533,108
217.6,8.0,isi,5,2,17,94
225.6,12.8,isi,8,8,67,148
238.4,8.0,isi,5,16,134,144
246.4,11.2,dur,7,4,33,136
257.6,6.4,dur,4,64,533,125
264.0,9.6,dur,6,8,67,24
273.6,6.4,dur,4,8,67,69
280.0,4.8,dur,3,4,33,19
284.8,8.0,isi,5,8,67,47
292.8,12.8,dur,8,32,267,62
305.6,14.4,dur,9,8,67,124
