time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,4,0,0,38
6.4,9.6,dur,6,10,32,267,58
16.0,4.8,dur,3,13,64,533,88
20.8,6.4,dur,4,17,2,17,159
27.2,4.8,dur,3,20,8,67,81
32.0,6.4,dur,4,24,8,67,158
38.4,9.6,isi,6,30,64,533,120
48.0,8.0,isi,5,35,64,533,107
56.0,6.4,dur,4,39,16,134,152
62.4,4.8,dur,3,42,2,17,13
67.2,8.0,dur,5,47,0,0,12
75.2,4.8,dur,3,50,16,134,50
80.0,9.6,isi,6,56,64,533,138
89.6,11.2,dur,7,63,2,17,109
100.8,4.8,dur,3,66,4,33,78
105.6,14.4,dur,9,75,32,267,136
120.0,4.8,dur,3,78,64,533,65
124.8,4.8,isi,3,81,64,533,35
129.6,11.2,dur,7,88,2,17,70
140.8,4.8,dur,3,91,32,267,89
145.6,12.8,dur,8,99,0,0,153
158.4,8.0,dur,5,104,8,67,122
166.4,12.8,dur,8,112,8,67,131
179.2,4.8,dur,3,115,8,67,94
184.0,8.0,dur,5,120,4,33,126
192.0,8.0,dur,5,125,2,17,73
200.0,8.0,dur,5,130,32,267,62
208.0,8.0,dur,5,135,4,33,9
216.0,4.8,dur,3,138,64,533,19
220.8,9.6,dur,6,144,64,533,63
230.4,16.0,dur,10,154,16,134,26
246.4,4.8,isi,3,157,64,533,83
251.2,9.6,dur,6,163,16,134,146
260.8,8.0,dur,5,168,64,533,45
268.8,6.4,dur,4,172,32,267,80
275.2,6.4,dur,4,176,4,33,22
281.6,6.4,dur,4,180,16,134,34
288.0,6.4,dur,4,184,0,0,132
294.4,16.0,dur,10,194,0,0,103
310.4,9.6,dur,6,200,4,33,141
