time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,0,0,59
4.8,12.8,dur,8,16,134,16
17.6,4.8,isi,3,4,33,106
22.4,4.8,dur,3,2,17,46
27.2,8.0,dur,5,32,267,78
35.2,6.4,dur,4,64,533,83
41.6,4.8,isi,3,8,67,25
46.4,4.8,dur,3,8,67,107
51.2,4.8,dur,3,0,0,144
56.0,4.8,isi,3,16,134,116
60.8,11.2,dur,7,4,33,40
72.0,6.4,dur,4,64,533,104
78.4,6.4,dur,4,16,134,14
84.8,8.0,dur,5,8,67,45
92.8,9.6,isi,6,8,67,21
102.4,12.8,isi,8,4,33,115
115.2,11.2,dur,7,16,134,109
126.4,4.8,isi,3,32,267,93
131.2,4.8,isi,3,64,533,105
136.0,12.8,isi,8,32,267,49
148.8,12.8,dur,8,0,0,159
161.6,14.4,dur,9,4,33,135
176.0,12.8,isi,8,16,134,91
188.8,12.8,dur,8,2,17,141
201.6,9.6,isi,6,2,17,38
211.2,4.8,dur,3,2,17,142
216.0,9.6,isi,6,8,67,15
225.6,4.8,isi,3,64,533,136
230.4,11.2,dur,7,64,533,122
241.6,6.4,isi,4,32,267,11
248.0,4.8,dur,3,32,267,121
252.8,12.8,isi,8,16,134,131
265.6,6.4,dur,4,32,267,43
272.0,8.0,dur,5,4,33,47
280.0,4.8,dur,3,8,67,65
284.8,12.8,isi,8,64,533,55
297.6,4.8,isi,3,2,17,124
302.4,4.8,isi,3,2,17,69
307.2,12.8,isi,8,4,33,95
