time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,4,33,95
4.8,12.8,dur,8,11,2,17,35
17.6,4.8,dur,3,14,16,134,91
22.4,4.8,dur,3,17,8,67,79
27.2,11.2,dur,7,24,64,533,127
38.4,4.8,dur,3,27,8,67,16
43.2,4.8,dur,3,30,8,67,114
48.0,9.6,dur,6,36,16,134,8
57.6,4.8,dur,3,39,2,17,13
62.4,4.8,dur,3,42,16,134,92
67.2,9.6,isi,6,48,64,533,142
76.8,16.0,dur,10,58,32,267,3
92.8,4.8,dur,3,61,8,67,154
97.6,4.8,dur,3,64,2,17,54
102.4,6.4,dur,4,68,32,267,29
108.8,6.4,dur,4,72,0,0,137
115.2,11.2,dur,7,79,32,267,117
126.4,4.8,isi,3,82,64,533,134
131.2,8.0,isi,5,87,64,533,58
139.2,4.8,isi,3,90,64,533,78
144.0,11.2,dur,7,97,64,533,105
155.2,8.0,dur,5,102,0,0,61
163.2,4.8,dur,3,105,32,267,41
168.0,11.2,dur,7,112,2,17,12
179.2,8.0,dur,5,117,4,33,65
187.2,8.0,dur,5,122,0,0,22
195.2,4.8,dur,3,125,16,134,19
200.0,4.8,dur,3,128,0,0,46
204.8,9.6,dur,6,134,8,67,132
214.4,8.0,dur,5,139,64,533,93
222.4,6.4,dur,4,143,2,17,159
228.8,4.8,dur,3,146,0,0,34
233.6,16.0,isi,10,156,64,533,84
249.6,4.8,dur,3,159,64,533,88
254.4,6.4,dur,4,163,16,134,118
260.8,9.6,dur,6,169,64,533,112
270.4,11.2,dur,7,176,4,33,75
281.6,14.4,dur,9,185,4,33,86
296.0,6.4,dur,4,189,4,33,138
302.4,17.6,dur,11,200,32,267,130
