time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,12.8,dur,8,8,32,267,145
12.8,6.4,dur,4,12,8,67,84
19.2,6.4,dur,4,16,2,17,70
25.6,8.0,dur,5,21,32,267,28
33.6,9.6,dur,6,27,2,17,151
43.2,6.4,dur,4,31,16,134,25
49.6,8.0,dur,5,36,32,267,34
57.6,4.8,dur,3,39,0,0,14
62.4,4.8,dur,3,42,4,33,55
67.2,4.8,dur,3,45,0,0,133
72.0,4.8,dur,3,48,32,267,140
76.8,12.8,dur,8,56,16,134,73
89.6,14.4,dur,9,65,2,17,56
104.0,6.4,dur,4,69,16,134,153
110.4,4.8,dur,3,72,2,17,49
115.2,11.2,dur,7,79,8,67,115
126.4,14.4,dur,9,88,0,0,9
140.8,6.4,isi,4,92,64,533,39
147.2,14.4,dur,9,101,64,533,27
161.6,6.4,dur,4,105,64,533,31
168.0,17.6,dur,11,116,0,0,20
185.6,4.8,isi,3,119,64,533,117
190.4,4.8,dur,3,122,64,533,59
195.2,6.4,dur,4,126,0,0,146
201.6,14.4,dur,9,135,4,33,116
216.0,4.8,dur,3,138,32,267,46
220.8,4.8,isi,3,141,64,533,109
225.6,4.8,isi,3,144,64,533,97
230.4,6.4,dur,4,148,2,17,128
236.8,4.8,dur,3,151,8,67,69
241.6,4.8,dur,3,154,64,533,16
246.4,4.8,dur,3,157,8,67,58
251.2,4.8,dur,3,160,8,67,132
256.0,12.8,dur,8,168,16,134,60
268.8,4.8,dur,3,171,4,33,120
273.6,4.8,isi,3,174,64,533,99
278.4,14.4,dur,9,183,4,33,74
292.8,4.8,dur,3,186,4,33,131
297.6,6.4,dur,4,190,16,134,21
304.0,16.0,dur,10,200,64,533,54
