time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,4,33,8
4.8,4.8,dur,3,6,2,17,62
9.6,11.2,dur,7,13,0,0,130
20.8,4.8,dur,3,16,0,0,91
25.6,4.8,dur,3,19,8,67,141
30.4,6.4,dur,4,23,64,533,122
36.8,8.0,dur,5,28,4,33,57
44.8,4.8,isi,3,31,64,533,157
49.6,8.0,dur,5,36,16,134,151
57.6,6.4,dur,4,40,16,134,140
64.0,11.2,dur,7,47,16,134,152
75.2,9.6,dur,6,53,4,33,21
84.8,8.0,dur,5,58,2,17,4
92.8,4.8,isi,3,61,64,533,83
97.6,8.0,dur,5,66,32,267,116
105.6,11.2,dur,7,73,4,33,67
116.8,6.4,dur,4,77,0,0,43
123.2,6.4,dur,4,81,32,267,88
129.6,11.2,dur,7,88,2,17,72
140.8,4.8,dur,3,91,32,267,37
145.6,6.4,dur,4,95,4,33,5
152.0,14.4,dur,9,104,0,0,106
166.4,11.2,dur,7,111,8,67,107
177.6,6.4,dur,4,115,8,67,143
184.0,6.4,dur,4,119,64,533,129
190.4,11.2,dur,7,126,0,0,159
201.6,4.8,dur,3,129,16,134,96
206.4,11.2,dur,7,136,64,533,9
217.6,11.2,dur,7,143,32,267,56
228.8,6.4,dur,4,147,64,533,28
235.2,4.8,dur,3,150,8,67,76
240.0,8.0,dur,5,155,8,67,111
248.0,9.6,isi,6,161,64,533,138
257.6,6.4,isi,4,165,64,533,53
264.0,8.0,isi,5,170,64,533,121
272.0,11.2,dur,7,177,2,17,58
283.2,6.4,dur,4,181,64,533,11
289.6,6.4,dur,4,185,32,267,22
296.0,6.4,dur,4,189,16,134,63
302.4,17.6,dur,11,200,2,17,50
