time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,11.2,dur,7,64,533,88
11.2,9.6,dur,6,32,267,119
20.8,6.4,dur,4,0,0,150
27.2,4.8,isi,3,64,533,44
32.0,6.4,isi,4,16,134,126
38.4,6.4,dur,4,0,0,46
44.8,4.8,isi,3,32,267,139
49.6,9.6,dur,6,64,533,4
59.2,4.8,dur,3,16,134,43
64.0,11.2,dur,7,8,67,71
75.2,6.4,dur,4,8,67,84
81.6,9.6,isi,6,8,67,110
91.2,4.8,isi,3,2,17,22
96.0,4.8,dur,3,8,67,53
100.8,12.8,isi,8,4,33,112
113.6,6.4,isi,4,16,134,30
120.0,6.4,isi,4,4,33,159
126.4,6.4,dur,4,4,33,9
132.8,12.8,dur,8,0,0,7
145.6,6.4,dur,4,16,134,131
152.0,12.8,isi,8,16,134,45
164.8,12.8,dur,8,2,17,93
177.6,8.0,isi,5,8,67,55
185.6,6.4,dur,4,2,17,67
192.0,9.6,dur,6,32,267,145
201.6,12.8,isi,8,32,267,128
214.4,6.4,isi,4,2,17,49
220.8,9.6,isi,6,64,533,59
230.4,4.8,dur,3,4,33,111
235.2,6.4,isi,4,8,67,127
241.6,4.8,dur,3,2,17,87
246.4,8.0,dur,5,4,33,121
254.4,12.8,dur,8,16,134,17
267.2,6.4,isi,4,64,533,123
273.6,4.8,dur,3,32,267,122
278.4,9.6,dur,6,64,533,10
288.0,9.6,isi,6,4,33,62
297.6,8.0,isi,5,32,267,137
305.6,14.4,isi,9,2,17,12
