time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,4,4,33,25
6.4,4.8,dur,3,7,0,0,116
11.2,4.8,dur,3,10,64,533,75
16.0,8.0,dur,5,15,64,533,88
24.0,8.0,dur,5,20,64,533,65
32.0,4.8,dur,3,23,32,267,39
36.8,12.8,isi,8,31,64,533,4
49.6,8.0,dur,5,36,8,67,22
57.6,4.8,dur,3,39,8,67,27
62.4,9.6,dur,6,45,8,67,100
72.0,9.6,dur,6,51,8,67,98
81.6,6.4,dur,4,55,64,533,31
88.0,6.4,dur,4,59,16,134,110
94.4,14.4,dur,9,68,4,33,57
108.8,4.8,dur,3,71,2,17,146
113.6,4.8,isi,3,74,64,533,21
118.4,11.2,dur,7,81,2,17,97
129.6,8.0,dur,5,86,32,267,74
137.6,6.4,dur,4,90,4,33,124
144.0,6.4,dur,4,94,8,67,86
150.4,4.8,dur,3,97,16,134,30
155.2,9.6,dur,6,103,16,134,49
164.8,9.6,dur,6,109,16,134,3
174.4,12.8,isi,8,117,64,533,126
187.2,4.8,dur,3,120,0,0,99
192.0,14.4,dur,9,129,2,17,10
206.4,6.4,isi,4,133,64,533,108
212.8,9.6,dur,6,139,32,267,92
222.4,6.4,dur,4,143,2,17,103
228.8,4.8,dur,3,146,4,33,113
233.6,12.8,dur,8,154,0,0,77
246.4,6.4,dur,4,158,0,0,79
252.8,4.8,dur,3,161,4,33,2
257.6,4.8,dur,3,164,32,267,58
262.4,6.4,isi,4,168,64,533,131
268.8,6.4,dur,4,172,0,0,68
275.2,6.4,dur,4,176,2,17,101
281.6,9.6,dur,6,182,32,267,145
291.2,16.0,dur,10,192,16,134,29
307.2,12.8,dur,8,200,64,533,102
