time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,0,0,128
4.8,6.4,dur,4,7,4,33,54
11.2,6.4,isi,4,11,64,533,16
17.6,8.0,dur,5,16,64,533,151
25.6,4.8,dur,3,19,64,533,141
30.4,9.6,dur,6,25,16,134,104
40.0,4.8,dur,3,28,32,267,71
44.8,4.8,dur,3,31,32,267,59
49.6,11.2,dur,7,38,0,0,123
60.8,9.6,dur,6,44,32,267,95
70.4,6.4,dur,4,48,2,17,45
76.8,4.8,dur,3,51,16,134,86
81.6,6.4,dur,4,55,16,134,84
88.0,8.0,dur,5,60,4,33,75
96.0,8.0,isi,5,65,64,533,113
104.0,14.4,dur,9,74,64,533,12
118.4,6.4,dur,4,78,0,0,23
124.8,4.8,dur,3,81,16,134,101
129.6,6.4,dur,4,85,2,17,67
136.0,8.0,isi,5,90,64,533,140
144.0,9.6,dur,6,96,16,134,61
153.6,4.8,dur,3,99,8,67,157
158.4,16.0,dur,10,109,8,67,20
174.4,11.2,isi,7,116,64,533,158
185.6,12.8,dur,8,124,64,533,63
198.4,4.8,dur,3,127,0,0,5
203.2,16.0,dur,10,137,2,17,74
219.2,4.8,dur,3,140,8,67,148
224.0,4.8,isi,3,143,64,533,117
228.8,6.4,dur,4,147,8,67,105
235.2,16.0,dur,10,157,4,33,96
251.2,4.8,dur,3,160,4,33,28
256.0,4.8,dur,3,163,4,33,8
260.8,8.0,dur,5,168,32,267,66
268.8,9.6,dur,6,174,0,0,130
278.4,6.4,dur,4,178,2,17,121
284.8,8.0,dur,5,183,32,267,125
292.8,4.8,dur,3,186,8,67,82
297.6,11.2,dur,7,193,64,533,53
308.8,11.2,dur,7,200,2,17,70
