time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,0,0,124
4.8,14.4,dur,9,12,0,0,92
19.2,4.8,isi,3,15,64,533,127
24.0,11.2,dur,7,22,4,33,94
35.2,6.4,dur,4,26,32,267,104
41.6,9.6,dur,6,32,32,267,85
51.2,4.8,isi,3,35,64,533,50
56.0,4.8,dur,3,38,16,134,93
60.8,4.8,dur,3,41,16,134,103
65.6,9.6,dur,6,47,0,0,59
75.2,6.4,dur,4,51,8,67,96
81.6,4.8,dur,3,54,2,17,60
86.4,16.0,dur,10,64,8,67,119
102.4,8.0,dur,5,69,4,33,136
110.4,9.6,dur,6,75,4,33,27
120.0,8.0,dur,5,80,64,533,21
128.0,4.8,dur,3,83,16,134,3
132.8,9.6,dur,6,89,2,17,39
142.4,4.8,dur,3,92,4,33,76
147.2,6.4,isi,4,96,64,533,100
153.6,11.2,isi,7,103,64,533,157
164.8,6.4,dur,4,107,64,533,66
171.2,12.8,dur,8,115,4,33,68
184.0,6.4,dur,4,119,32,267,48
190.4,9.6,dur,6,125,2,17,105
200.0,9.6,dur,6,131,0,0,153
209.6,12.8,dur,8,139,64,533,46
222.4,8.0,dur,5,144,32,267,139
230.4,4.8,dur,3,147,2,17,78
235.2,9.6,dur,6,153,16,134,102
244.8,4.8,dur,3,156,2,17,40
249.6,8.0,dur,5,161,0,0,1
257.6,6.4,isi,4,165,64,533,63
264.0,11.2,dur,7,172,16,134,53
275.2,4.8,dur,3,175,8,67,34
280.0,12.8,dur,8,183,8,67,54
292.8,4.8,dur,3,186,64,533,13
297.6,4.8,dur,3,189,32,267,89
302.4,6.4,dur,4,193,64,533,12
308.8,11.2,dur,7,200,8,67,133
