time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,4,4,33,155
6.4,4.8,dur,3,7,0,0,143
11.2,11.2,dur,7,14,16,134,31
22.4,4.8,dur,3,17,0,0,67
27.2,8.0,dur,5,22,4,33,157
35.2,6.4,isi,4,26,64,533,75
41.6,4.8,dur,3,29,4,33,71
46.4,8.0,dur,5,34,32,267,81
54.4,14.4,dur,9,43,4,33,10
68.8,6.4,dur,4,47,8,67,101
75.2,4.8,dur,3,50,16,134,0
80.0,9.6,isi,6,56,64,533,78
89.6,12.8,dur,8,64,16,134,20
102.4,4.8,dur,3,67,8,67,14
107.2,17.6,dur,11,78,64,533,48
124.8,4.8,dur,3,81,32,267,142
129.6,6.4,isi,4,85,64,533,132
136.0,6.4,dur,4,89,64,533,17
142.4,6.4,dur,4,93,64,533,24
148.8,8.0,dur,5,98,16,134,8
156.8,9.6,dur,6,104,2,17,60
166.4,12.8,dur,8,112,0,0,36
179.2,4.8,dur,3,115,8,67,146
184.0,4.8,dur,3,118,2,17,28
188.8,9.6,dur,6,124,32,267,140
198.4,4.8,dur,3,127,2,17,85
203.2,6.4,dur,4,131,16,134,127
209.6,6.4,dur,4,135,8,67,19
216.0,11.2,dur,7,142,0,0,128
227.2,6.4,isi,4,146,64,533,49
233.6,11.2,dur,7,153,8,67,68
244.8,4.8,dur,3,156,32,267,82
249.6,6.4,dur,4,160,0,0,25
256.0,11.2,dur,7,167,4,33,80
267.2,4.8,dur,3,170,64,533,59
272.0,14.4,isi,9,179,64,533,9
286.4,4.8,dur,3,182,64,533,38
291.2,6.4,dur,4,186,32,267,134
297.6,11.2,dur,7,193,2,17,133
308.8,11.2,dur,7,200,2,17,70
