time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,8.0,dur,5,5,2,17,15
8.0,8.0,dur,5,10,64,533,154
16.0,8.0,dur,5,15,2,17,122
24.0,6.4,isi,4,19,64,533,137
30.4,4.8,dur,3,22,64,533,74
35.2,4.8,dur,3,25,8,67,109
40.0,12.8,dur,8,33,0,0,139
52.8,8.0,dur,5,38,32,267,123
60.8,6.4,dur,4,42,0,0,147
67.2,16.0,dur,10,52,4,33,136
83.2,4.8,dur,3,55,2,17,102
88.0,8.0,isi,5,60,64,533,1
96.0,8.0,dur,5,65,32,267,45
104.0,4.8,isi,3,68,64,533,16
108.8,4.8,dur,3,71,16,134,149
113.6,6.4,dur,4,75,16,134,49
120.0,6.4,dur,4,79,32,267,41
126.4,17.6,dur,11,90,2,17,11
144.0,9.6,dur,6,96,16,134,28
153.6,11.2,dur,7,103,64,533,90
164.8,4.8,dur,3,106,2,17,107
169.6,8.0,dur,5,111,4,33,142
177.6,6.4,dur,4,115,8,67,14
184.0,4.8,isi,3,118,64,533,130
188.8,16.0,dur,10,128,4,33,43
204.8,4.8,dur,3,131,16,134,65
209.6,6.4,dur,4,135,0,0,76
216.0,9.6,dur,6,141,8,67,20
225.6,4.8,dur,3,144,64,533,126
230.4,16.0,dur,10,154,16,134,51
246.4,4.8,dur,3,157,4,33,46
251.2,4.8,dur,3,160,32,267,56
256.0,4.8,dur,3,163,8,67,54
260.8,4.8,dur,3,166,4,33,127
265.6,8.0,dur,5,171,8,67,27
273.6,4.8,dur,3,174,0,0,106
278.4,12.8,dur,8,182,64,533,79
291.2,9.6,isi,6,188,64,533,96
300.8,9.6,dur,6,194,32,267,113
310.4,9.6,dur,6,200,0,0,35
