time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,9.6,isi,6,2,17,145
9.6,12.8,isi,8,64,533,39
22.4,4.8,dur,3,4,33,19
27.2,11.2,isi,7,4,33,112
38.4,4.8,isi,3,2,17,115
43.2,9.6,dur,6,16,134,81
52.8,8.0,dur,5,0,0,91
60.8,12.8,isi,8,16,134,21
73.6,4.8,isi,3,16,134,14
78.4,4.8,dur,3,4,33,147
83.2,6.4,isi,4,32,267,137
89.6,4.8,dur,3,32,267,124
94.4,8.0,isi,5,4,33,51
102.4,4.8,isi,3,64,533,30
107.2,6.4,isi,4,64,533,7
113.6,12.8,dur,8,64,533,79
126.4,4.8,dur,3,16,134,90
131.2,4.8,isi,3,2,17,50
136.0,6.4,dur,4,64,533,89
142.4,12.8,isi,8,32,267,102
155.2,9.6,dur,6,32,267,5
164.8,9.6,dur,6,8,67,146
174.4,4.8,isi,3,4,33,9
179.2,4.8,dur,3,2,17,76
184.0,8.0,dur,5,8,67,65
192.0,11.2,isi,7,8,67,87
203.2,4.8,dur,3,2,17,66
208.0,8.0,dur,5,0,0,82
216.0,4.8,dur,3,32,267,27
220.8,6.4,isi,4,8,67,129
227.2,11.2,dur,7,64,533,153
238.4,4.8,dur,3,8,67,80
243.2,12.8,dur,8,4,33,2
256.0,12.8,dur,8,2,17,106
268.8,4.8,dur,3,0,0,41
273.6,11.2,dur,7,16,134,24
284.8,14.4,isi,9,16,134,121
299.2,6.4,isi,4,32,267,63
305.6,14.4,isi,9,8,67,26
