time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,4.8,isi,3,2,17,103
4.8,6.4,dur,4,8,67,40
11.2,9.6,dur,6,64,533,112
20.8,4.8,dur,3,32,267,20
25.6,8.0,dur,5,0,0,141
33.6,6.4,isi,4,2,17,121
40.0,12.8,dur,8,16,134,137
52.8,6.4,dur,4,64,533,9
59.2,4.8,dur,3,32,267,142
64.0,14.4,isi,9,2,17,7
78.4,6.4,isi,4,64,533,38
84.8,9.6,dur,6,4,33,65
94.4,9.6,dur,6,2,17,12
104.0,8.0,isi,5,64,533,134
112.0,8.0,isi,5,32,267,110
120.0,4.8,isi,3,64,533,92
124.8,9.6,dur,6,32,267,148
134.4,11.2,isi,7,8,67,143
145.6,8.0,isi,5,16,134,21
153.6,4.8,dur,3,64,533,50
158.4,8.0,isi,5,16,134,140
166.4,8.0,dur,5,8,67,10
174.4,9.6,isi,6,4,33,46
184.0,9.6,isi,6,32,267,95
193.6,4.8,dur,3,4,33,47
198.4,9.6,isi,6,8,67,111
208.0,4.8,dur,3,8,67,151
212.8,12.8,dur,8,0,0,158
225.6,4.8,isi,3,32,267,120
230.4,6.4,isi,4,4,33,115
236.8,14.4,dur,9,2,17,118
251.2,4.8,dur,3,0,0,119
256.0,12.8,isi,8,8,67,28
268.8,8.0,isi,5,4,33,48
276.8,11.2,isi,7,16,134,153
288.0,9.6,dur,6,4,33,73
297.6,4.8,dur,3,16,134,133
302.4,9.6,dur,6,16,134,27
312.0,8.0,dur,5,2,17,53
