time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,4,33,33
4.8,4.8,dur,3,6,64,533,74
9.6,4.8,dur,3,9,0,0,86
14.4,14.4,dur,9,18,0,0,56
28.8,9.6,dur,6,24,32,267,114
38.4,6.4,dur,4,28,8,67,121
44.8,11.2,dur,7,35,16,134,38
56.0,4.8,dur,3,38,16,134,134
60.8,4.8,dur,3,41,2,17,0
65.6,9.6,dur,6,47,8,67,123
75.2,4.8,dur,3,50,16,134,126
80.0,9.6,dur,6,56,8,67,48
89.6,11.2,dur,7,63,64,533,82
100.8,12.8,dur,8,71,8,67,10
113.6,9.6,dur,6,77,4,33,61
123.2,6.4,dur,4,81,64,533,17
129.6,9.6,dur,6,87,2,17,30
139.2,4.8,isi,3,90,64,533,100
144.0,6.4,dur,4,94,4,33,116
150.4,12.8,dur,8,102,8,67,81
163.2,4.8,dur,3,105,32,267,128
168.0,6.4,dur,4,109,32,267,106
174.4,4.8,dur,3,112,32,267,155
179.2,4.8,dur,3,115,16,134,130
184.0,16.0,isi,10,125,64,533,91
200.0,4.8,dur,3,128,0,0,103
204.8,4.8,dur,3,131,4,33,141
209.6,6.4,dur,4,135,4,33,28
216.0,11.2,dur,7,142,2,17,127
227.2,6.4,dur,4,146,0,0,37
233.6,12.8,isi,8,154,64,533,29
246.4,12.8,dur,8,162,2,17,4
259.2,8.0,isi,5,167,64,533,143
267.2,6.4,isi,4,171,64,533,105
273.6,4.8,dur,3,174,64,533,97
278.4,12.8,dur,8,182,16,134,88
291.2,6.4,dur,4,186,2,17,158
297.6,9.6,dur,6,192,0,0,85
307.2,6.4,dur,4,196,32,267,145
313.6,6.4,dur,4,200,64,533,151
