time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,texture_id
0.0,4.8,dur,3,3,0,0,66
4.8,14.4,dur,9,12,0,0,17
19.2,8.0,dur,5,17,16,134,121
27.2,4.8,dur,3,20,0,0,152
32.0,4.8,dur,3,23,8,67,4
36.8,9.6,isi,6,29,64,533,104
46.4,8.0,dur,5,34,32,267,34
54.4,9.6,dur,6,40,4,33,135
64.0,4.8,dur,3,43,32,267,2
68.8,6.4,dur,4,47,16,134,111
75.2,4.8,dur,3,50,32,267,3
80.0,8.0,dur,5,55,4,33,142
88.0,6.4,dur,4,59,8,67,122
94.4,6.4,dur,4,63,2,17,139
100.8,8.0,dur,5,68,64,533,18
108.8,12.8,dur,8,76,16,134,49
121.6,9.6,dur,6,82,0,0,98
131.2,6.4,dur,4,86,64,533,68
137.6,8.0,dur,5,91,8,67,150
145.6,4.8,dur,3,94,64,533,145
150.4,4.8,dur,3,97,16,134,9
155.2,12.8,isi,8,105,64,533,147
168.0,9.6,dur,6,111,0,0,115
177.6,4.8,dur,3,114,32,267,27
182.4,8.0,dur,5,119,64,533,138
190.4,4.8,dur,3,122,64,533,35
195.2,17.6,dur,11,133,2,17,101
212.8,9.6,dur,6,139,4,33,132
222.4,8.0,dur,5,144,2,17,97
230.4,6.4,isi,4,148,64,533,54
236.8,4.8,dur,3,151,8,67,107
241.6,6.4,dur,4,155,32,267,133
248.0,4.8,dur,3,158,2,17,137
252.8,6.4,dur,4,162,16,134,56
259.2,14.4,isi,9,171,64,533,72
273.6,4.8,dur,3,174,4,33,48
278.4,4.8,dur,3,177,4,33,21
283.2,14.4,dur,9,186,8,67,13
297.6,6.4,isi,4,190,64,533,92
304.0,16.0,dur,10,200,2,17,106
