time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,6.4,dur,4,64,533,101
6.4,6.4,dur,4,16,134,81
12.8,9.6,dur,6,64,533,114
22.4,4.8,dur,3,2,17,140
27.2,4.8,isi,3,4,33,69
32.0,11.2,dur,7,16,134,28
43.2,4.8,isi,3,64,533,49
48.0,9.6,isi,6,16,134,133
57.6,8.0,isi,5,64,533,52
65.6,4.8,isi,3,8,67,30
70.4,4.8,isi,3,64,533,17
75.2,12.8,dur,8,32,267,136
88.0,4.8,isi,3,2,17,155
92.8,8.0,dur,5,32,267,13
100.8,6.4,dur,4,32,267,53
107.2,6.4,dur,4,16,134,34
113.6,9.6,dur,6,8,67,104
123.2,4.8,dur,3,8,67,18
128.0,12.8,dur,8,8,67,23
140.8,9.6,dur,6,4,33,156
150.4,14.4,isi,9,32,267,74
164.8,4.8,isi,3,8,67,73
169.6,11.2,isi,7,2,17,123
180.8,11.2,dur,7,4,33,70
192.0,8.0,isi,5,2,17,9
200.0,6.4,dur,4,0,0,87
206.4,12.8,dur,8,0,0,19
219.2,4.8,dur,3,0,0,125
224.0,9.6,isi,6,8,67,62
233.6,6.4,isi,4,16,134,24
240.0,16.0,dur,10,4,33,75
256.0,4.8,isi,3,32,267,111
260.8,4.8,isi,3,16,134,77
265.6,9.6,dur,6,2,17,72
275.2,4.8,isi,3,4,33,147
280.0,9.6,isi,6,4,33,66
289.6,4.8,dur,3,64,533,100
294.4,11.2,isi,7,32,267,45
305.6,14.4,dur,9,2,17,79
