time,iti_s,type,iti_TR,cond_frames,cond_ms,texture_id
0.0,9.6,dur,6,8,67,145
9.6,9.6,isi,6,2,17,18
19.2,9.6,dur,6,16,134,17
28.8,4.8,isi,3,32,267,62
33.6,4.8,dur,3,4,33,153
38.4,4.8,dur,3,0,0,110
43.2,8.0,dur,5,0,0,150
51.2,4.8,isi,3,2,17,92
56.0,16.0,dur,10,8,67,19
72.0,12.8,dur,8,2,17,26
84.8,6.4,isi,4,8,67,47
91.2,9.6,dur,6,64,533,106
100.8,4.8,dur,3,32,267,1
105.6,4.8,dur,3,16,134,23
110.4,6.4,dur,4,32,267,65
116.8,6.4,isi,4,8,67,104
123.2,6.4,isi,4,8,67,67
129.6,6.4,dur,4,2,17,128
136.0,8.0,isi,5,16,134,95
144.0,9.6,dur,6,4,33,121
153.6,4.8,isi,3,4,33,102
158.4,9.6,dur,6,8,67,137
168.0,8.0,dur,5,2,17,89
176.0,12.8,dur,8,16,134,77
188.8,6.4,isi,4,16,134,152
195.2,8.0,isi,5,64,533,30
203.2,12.8,dur,8,64,533,127
216.0,4.8,dur,3,64,533,40
220.8,12.8,isi,8,2,17,49
233.6,6.4,isi,4,64,533,124
240.0,4.8,isi,3,16,134,120
244.8,8.0,isi,5,32,267,151
252.8,12.8,dur,8,32,267,134
265.6,11.2,dur,7,0,0,45
276.8,9.6,isi,6,4,33,144
286.4,9.6,dur,6,4,33,146
296.0,4.8,isi,3,64,533,114
300.8,4.8,isi,3,4,33,35
305.6,14.4,isi,9,32,267,21
